key,label
grapheme.001-002-002-482-021-517-071.jpg,0
grapheme.001-002-006-404-022-442-060.jpg,2
grapheme.001-005-004-212-021-227-045.jpg,0
grapheme.001-006-002-220-014-241-047.jpg,0
grapheme.001-002-010-329-025-367-057.jpg,3
grapheme.001-004-004-084-013-124-045.jpg,6
grapheme.001-005-003-114-017-146-054.jpg,5
grapheme.001-002-003-157-031-201-082.jpg,7
grapheme.001-003-002-233-025-254-048.jpg,0
grapheme.001-004-001-228-016-250-044.jpg,0
grapheme.001-006-001-194-013-214-043.jpg,0
grapheme.001-006-007-274-017-289-045.jpg,2
grapheme.001-007-006-326-035-348-058.jpg,0
grapheme.001-001-005-103-022-126-053.jpg,0
grapheme.001-007-002-109-028-136-061.jpg,1
grapheme.001-008-002-186-008-220-064.jpg,9
grapheme.001-002-008-647-006-679-072.jpg,7
grapheme.001-002-001-523-016-557-069.jpg,9
grapheme.001-005-001-181-021-206-051.jpg,0
grapheme.001-007-003-206-030-244-062.jpg,5
grapheme.001-007-005-274-027-297-058.jpg,0
grapheme.001-001-002-317-003-342-045.jpg,1
grapheme.001-007-001-155-020-193-069.jpg,9
grapheme.001-001-004-262-008-322-053.jpg,2
grapheme.001-003-003-189-022-208-051.jpg,0
grapheme.001-004-005-253-015-267-038.jpg,0
grapheme.001-002-007-226-033-260-071.jpg,1
grapheme.001-007-004-300-029-324-061.jpg,0
grapheme.001-002-011-276-024-316-056.jpg,1
grapheme.001-006-005-078-007-109-053.jpg,9
grapheme.001-005-002-229-022-244-044.jpg,0
grapheme.001-004-003-136-007-171-044.jpg,5
grapheme.001-005-005-060-018-107-055.jpg,6
grapheme.001-006-003-017-010-051-055.jpg,1
grapheme.001-006-006-242-015-270-044.jpg,0
grapheme.001-001-001-062-001-114-073.jpg,2
grapheme.001-003-004-122-026-152-059.jpg,0
grapheme.001-003-001-208-025-233-051.jpg,0
grapheme.001-008-001-125-011-155-051.jpg,1
grapheme.001-002-005-688-009-727-044.jpg,5
grapheme.001-002-004-439-017-471-063.jpg,4
grapheme.001-008-003-222-017-263-057.jpg,5
grapheme.001-006-004-126-013-157-049.jpg,5
grapheme.001-008-004-283-024-313-048.jpg,0
grapheme.001-001-003-142-017-192-057.jpg,2
grapheme.001-003-006-081-027-119-052.jpg,6
grapheme.001-004-002-203-014-226-042.jpg,0
grapheme.001-002-009-563-017-603-052.jpg,5
grapheme.001-003-005-004-036-037-085.jpg,2
grapheme.002-004-003-102-063-141-110.jpg,2
grapheme.002-004-001-167-056-199-100.jpg,4
grapheme.002-001-004-308-012-342-046.jpg,3
grapheme.002-004-005-338-053-370-103.jpg,7
grapheme.002-004-012-516-062-546-092.jpg,5
grapheme.002-003-007-473-058-500-086.jpg,0
grapheme.002-003-001-036-053-074-100.jpg,2
grapheme.002-004-006-201-053-241-090.jpg,3
grapheme.002-004-002-132-057-162-093.jpg,5
grapheme.002-001-002-507-016-553-053.jpg,5
grapheme.002-003-003-439-058-480-101.jpg,2
grapheme.002-004-004-380-062-413-105.jpg,2
grapheme.002-004-007-419-057-461-097.jpg,8
grapheme.002-003-005-072-056-103-084.jpg,0
grapheme.002-001-010-581-017-605-059.jpg,7
grapheme.002-004-011-045-063-086-097.jpg,6
grapheme.002-001-008-414-017-441-060.jpg,4
grapheme.002-001-011-549-019-579-052.jpg,3
grapheme.002-003-006-109-056-131-096.jpg,1
grapheme.002-004-010-305-056-334-090.jpg,9
grapheme.002-001-005-240-008-270-055.jpg,7
grapheme.002-001-006-341-014-375-048.jpg,3
grapheme.002-004-008-255-059-301-094.jpg,8
grapheme.002-001-009-281-014-305-052.jpg,1
grapheme.002-001-001-386-017-425-065.jpg,2
grapheme.002-001-012-610-022-644-053.jpg,0
grapheme.002-002-001-171-012-217-055.jpg,8
grapheme.002-001-007-480-013-504-053.jpg,9
